file	board_1446a809c	ms	main_2611e14b0	ms	first	status
QF_UFLIA/mathsat/Wisa/xs-06-14-3-1-5-2.smt2	unsat	109	unsat	109	B	unsat
QF_UFLIA/mathsat/Wisa/xs-07-13-5-3-2-1.smt2	unsat	109	unsat	109	A	unsat
QF_UFLIA/mathsat/Wisa/xs-08-11-4-3-2-2.smt2	sat	609	sat	609	B	sat
QF_UFLIA/mathsat/Wisa/xs-09-10-5-1-5-2.smt2	sat	208	sat	209	A	sat
QF_UFLIA/mathsat/Wisa/xs-10-08-2-2-4-5.smt2	sat	308	sat	308	B	sat
QF_UFLIA/mathsat/Wisa/xs-11-07-3-4-2-3.smt2	sat	610	sat	609	A	sat
QF_UFLIA/mathsat/Wisa/xs-12-05-3-3-5-4.smt2	sat	609	sat	609	B	sat
QF_UFLIA/mathsat/Wisa/xs-12-19-1-4-1-2.smt2	sat	1210	sat	1209	A	sat
QF_UFLIA/mathsat/Wisa/xs-13-16-3-1-4-1.smt2	sat	808	sat	809	B	sat
QF_UFLIA/mathsat/Wisa/xs-14-13-4-2-1-3.smt2	sat	809	sat	808	A	sat
QF_UFLIA/mathsat/Wisa/xs-15-11-5-2-2-2.smt2	sat	909	sat	909	B	sat
QF_UFLIA/mathsat/Wisa/xs-16-09-4-2-1-5.smt2	sat	909	sat	908	A	sat
QF_UFLIA/mathsat/Wisa/xs-17-06-5-5-4-1.smt2	sat	1110	sat	1110	B	sat
QF_UFLIA/mathsat/Wisa/xs-17-19-3-3-3-4.smt2	sat	1309	sat	1210	A	sat
QF_UFLIA/mathsat/Wisa/xs-18-15-4-1-3-1.smt2	sat	1108	sat	1108	B	sat
QF_UFLIA/mathsat/Wisa/xs-19-12-4-2-4-5.smt2	sat	1308	sat	1308	A	sat
QF_UFLIA/mathsat/Wisa/xs-20-09-1-5-4-2.smt2	sat	1209	sat	1209	B	sat
QF_UFLIA/wisas/xs_10_15.smt2	sat	1409	sat	1408	A	sat
QF_UFLIA/wisas/xs_14_19.smt2	sat	1409	sat	1409	B	sat
QF_UFLIA/wisas/xs_18_28.smt2	sat	4910	sat	4912	A	sat
QF_UFLIA/wisas/xs_22_32.smt2	sat	9617	sat	10217	B	sat
QF_UFLIA/20230314-Jaroslav-Bendik-Certora/17512_5c1021b0faa6b6e1791b_20_QF_UFLIA.smt2	unknown	206	unknown	207	A	unknown
QF_UFLIA/20230314-Jaroslav-Bendik-Certora/3106_1c933134166dbad31f79_41_QF_UFLIA.smt2	unknown	207	unknown	208	B	unknown
QF_UFLIA/20230314-Jaroslav-Bendik-Certora/41958_32933c5a1384696720a2_61_QF_UFLIA.smt2	unknown	107	unknown	108	A	unknown
QF_UFLIA/20230314-Jaroslav-Bendik-Certora/44788_1965f0d6d94d5d8054ba_36_QF_UFLIA.smt2	unknown	107	unknown	107	B	unknown
QF_UFLIA/20230314-Jaroslav-Bendik-Certora/65782_cd31513fdcd15701933b_7_QF_UFLIA.smt2	unknown	108	unknown	106	A	unknown
QF_UFLIA/20230314-Jaroslav-Bendik-Certora/83314_a702bf8b823398c9e37a_2_UFLIA.smt2	unknown	25027	unknown	25028	B	unknown
QF_UFLIA/20230314-Jaroslav-Bendik-Certora/940_590f27b1c3c800d3243e_33_QF_UFLIA.smt2	unknown	25027	unknown	25026	A	unknown
QF_UFLIA/TwoSquares/smtlib.666105.smt2	unsat	108	unsat	108	B	unsat
QF_UFLIA/mathsat/EufLaArithmetic/hard/hard12.smt2	unknown	25027	unknown	24326	A	unsat
QF_UFLIA/mathsat/EufLaArithmetic/hard/hard7.smt2	unsat	7215	unsat	7215	B	unsat
QF_UFLIA/mathsat/EufLaArithmetic/medium/medium19.smt2	unsat	18425	unsat	18418	A	unsat
QF_UFLIA/mathsat/Hash/hash_sat_03_08.smt2	sat	1008	sat	1008	B	sat
QF_UFLIA/mathsat/Hash/hash_sat_03_20.smt2	sat	10314	sat	10314	A	sat
QF_UFLIA/mathsat/Hash/hash_sat_04_14.smt2	sat	18319	sat	18324	B	sat
