file	arm	verdict	rc	wall_ms	attempts	decided_by	bound_by	bound_ms	total_ms	giveup	lever_refused
QF_UFBV/calc2/calc2_sec2_shifter_bmc15.smt2	preadr	unknown	0	24226	15	none	ufbv-online-cdclt	24030	24146	give-up kind=Timeout detail=online UFBV canonical CdclT search exhausted its budget	no
QF_ABV/bench_ab/b165test0007.smt2	shipped	sat	0	112	4	abv-online-cdclt	abv-online-cdclt	15	15	none	no
QF_ABV/bench_ab/b165test0007.smt2	preadr	sat	0	111	4	abv-online-cdclt	abv-online-cdclt	12	13	none	no
QF_ABV/brummayerbiere/wchains010se.smt2	shipped	sat	0	510	5	array-fast-path	array-fast-path	371	389	none	no
QF_ABV/brummayerbiere/wchains010se.smt2	preadr	sat	0	410	5	array-fast-path	array-fast-path	297	312	none	no
QF_ABV/dwp_formulas/try3_noof_functions_dwp_md5sum.set_char_quoting.il.dwp.smt2	shipped	sat	0	18424	5	array-fast-path	abv-online-cdclt	18016	18303	none	no
QF_ABV/dwp_formulas/try3_noof_functions_dwp_md5sum.set_char_quoting.il.dwp.smt2	preadr	sat	0	18325	5	array-fast-path	abv-online-cdclt	18017	18301	none	no
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_chgrp.hash_get_n_entries.il.dwp.smt2	shipped	sat	0	110	4	abv-online-cdclt	abv-online-cdclt	5	6	none	no
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_chgrp.hash_get_n_entries.il.dwp.smt2	preadr	sat	0	110	4	abv-online-cdclt	abv-online-cdclt	3	4	none	no
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_pr.hold_file.il.dwp.smt2	shipped	sat	0	7617	5	array-fast-path	array-fast-path	7567	7578	none	no
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_pr.hold_file.il.dwp.smt2	preadr	sat	0	7818	5	array-fast-path	array-fast-path	7695	7706	none	no
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_who.set_quoting_style.il.dwp.smt2	shipped	sat	0	211	5	array-fast-path	array-fast-path	132	137	none	no
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_who.set_quoting_style.il.dwp.smt2	preadr	sat	0	210	5	array-fast-path	array-fast-path	132	137	none	no
QF_ABV/dwp_formulas/try3_true_functions_dwp_csplit.set_char_quoting.il.dwp.smt2	shipped	sat	0	4214	4	abv-online-cdclt	abv-online-cdclt	4158	4161	none	no
QF_ABV/dwp_formulas/try3_true_functions_dwp_csplit.set_char_quoting.il.dwp.smt2	preadr	sat	0	4313	4	abv-online-cdclt	abv-online-cdclt	4215	4218	none	no
QF_ABV/dwp_formulas/try3_true_functions_dwp_uptime.get_quoting_style.il.dwp.smt2	shipped	sat	0	210	4	abv-online-cdclt	abv-online-cdclt	105	107	none	no
QF_ABV/dwp_formulas/try3_true_functions_dwp_uptime.get_quoting_style.il.dwp.smt2	preadr	sat	0	211	4	abv-online-cdclt	abv-online-cdclt	104	106	none	no
QF_ABV/dwp_formulas/try4_difret_functions_disjunctions_touch.set_quoting_style.il.disjunctions_1.smt2	shipped	sat	0	3412	4	abv-online-cdclt	abv-online-cdclt	3371	3372	none	no
QF_ABV/dwp_formulas/try4_difret_functions_disjunctions_touch.set_quoting_style.il.disjunctions_1.smt2	preadr	sat	0	3513	4	abv-online-cdclt	abv-online-cdclt	3469	3471	none	no
QF_ABV/dwp_formulas/try4_true_functions_dwp_cut.get_quoting_style.il.dwp.smt2	shipped	sat	0	211	4	abv-online-cdclt	abv-online-cdclt	103	104	none	no
QF_ABV/dwp_formulas/try4_true_functions_dwp_cut.get_quoting_style.il.dwp.smt2	preadr	sat	0	210	4	abv-online-cdclt	abv-online-cdclt	103	104	none	no
QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_cat.next_line_num.il.dwp.smt2	shipped	unknown	0	5915	15	none	array-fast-path	5872	5884	give-up kind=Incomplete detail=array shape left undecided by the lazy ROW/extensionality path and refused by bounded array elimination: unsupported by backend: array equality over a 32-bit index (bounded extensionality supports indices up to 8 bits)	no
QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_cat.next_line_num.il.dwp.smt2	preadr	unknown	0	5914	15	none	array-fast-path	5824	5836	give-up kind=Incomplete detail=array shape left undecided by the lazy ROW/extensionality path and refused by bounded array elimination: unsupported by backend: array equality over a 32-bit index (bounded extensionality supports indices up to 8 bits)	no
QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_paste.set_quoting_style.il.dwp.smt2	shipped	sat	0	611	5	array-fast-path	array-fast-path	515	520	none	no
QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_paste.set_quoting_style.il.dwp.smt2	preadr	sat	0	612	5	array-fast-path	array-fast-path	516	521	none	no
QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_vdir.strcmp_size.il.dwp.smt2	shipped	unknown	0	19326	15	none	array-fast-path	19248	19262	give-up kind=Incomplete detail=array shape left undecided by the lazy ROW/extensionality path and refused by bounded array elimination: unsupported by backend: array equality over a 32-bit index (bounded extensionality supports indices up to 8 bits)	no
